source_system,source_table,source_column,source_data_type,target_table,target_column,target_data_type,transformation_logic,is_partition_column,is_cluster_column,notes
MySQL,employees,EMPLOYEE_ID,"decimal(10,0)",stg_employees,employee_id,INT64,CAST(EMPLOYEE_ID AS INT64),False,False,"Primary key; decimal(10,0) has no fractional part and max value 9,999,999,999 is well within INT64 range; NOT NULL enforced"
MySQL,employees,FIRST_NAME,varchar(50),stg_employees,first_name,STRING,CAST(FIRST_NAME AS STRING),False,False,VARCHAR(50) maps to BigQuery STRING; length constraint is not enforced at the BigQuery layer; NOT NULL enforced
MySQL,employees,LAST_NAME,varchar(50),stg_employees,last_name,STRING,CAST(LAST_NAME AS STRING),False,False,VARCHAR(50) maps to BigQuery STRING; NOT NULL enforced
MySQL,employees,EMAIL,varchar(100),stg_employees,email,STRING,CAST(EMAIL AS STRING),False,False,VARCHAR(100) maps to BigQuery STRING; pre-load schema validation should confirm email uniqueness if a business uniqueness rule exists; NOT NULL enforced
MySQL,employees,PHONE_NUMBER,varchar(20),stg_employees,phone_number,STRING,CAST(PHONE_NUMBER AS STRING),False,False,Nullable VARCHAR(20); NULL values are preserved; null constraint violation logging applies per acceptance criteria
MySQL,employees,HIRE_DATE,date,stg_employees,hire_date,DATE,CAST(HIRE_DATE AS DATE),True,False,MySQL DATE maps directly to BigQuery DATE; designated MONTH-granularity partition column to optimise analytical range scans by hire cohort and reduce query cost; NOT NULL enforced
MySQL,employees,JOB_ID,varchar(20),stg_employees,job_id,STRING,CAST(JOB_ID AS STRING),False,True,VARCHAR(20) maps to BigQuery STRING; third clustering column supporting job-role-level analytics and filtering; NOT NULL enforced
MySQL,employees,SALARY,"decimal(8,2)",stg_employees,salary,NUMERIC,CAST(SALARY AS NUMERIC),False,False,"decimal(8,2) maps to BigQuery NUMERIC which supports up to 29 digits of precision and 9 of scale; two-decimal precision is fully preserved; NOT NULL enforced"
MySQL,employees,COMMISSION_PCT,"decimal(4,2)",stg_employees,commission_pct,NUMERIC,CAST(COMMISSION_PCT AS NUMERIC),False,False,"Nullable decimal(4,2); NULL values preserved; BigQuery NUMERIC retains two-decimal fractional precision; null constraint violations to be logged pre-load"
MySQL,employees,MANAGER_ID,"decimal(10,0)",stg_employees,manager_id,INT64,CAST(MANAGER_ID AS INT64),False,False,"Nullable self-referencing FK to employee_id; NULL indicates a top-level manager with no parent; decimal(10,0) safely maps to INT64"
MySQL,employees,DEPARTMENT_ID,"decimal(4,0)",stg_employees,department_id,INT64,CAST(DEPARTMENT_ID AS INT64),False,True,"Nullable decimal(4,0) maps to INT64; second clustering column enabling efficient department-level query pruning; NULL values preserved"
MySQL,employees,STATUS,varchar(10),stg_employees,status,STRING,CAST(STATUS AS STRING),False,True,VARCHAR(10) maps to BigQuery STRING; designated first (highest-priority) clustering column due to expected high filter frequency in analytics predicates (e.g. WHERE status = 'ACTIVE'); NOT NULL enforced
MySQL,employees,CREATED_DATE,timestamp,stg_employees,created_date,TIMESTAMP,CAST(CREATED_DATE AS TIMESTAMP),False,False,MySQL TIMESTAMP maps to BigQuery TIMESTAMP; used as secondary delta tracking signal and full-load watermark anchor; NOT NULL enforced
MySQL,employees,UPDATED_DATE,timestamp,stg_employees,updated_date,TIMESTAMP,CAST(UPDATED_DATE AS TIMESTAMP),False,False,Nullable MySQL TIMESTAMP; primary delta column for incremental load watermark strategy (MAX(updated_date) tracks high-water mark); NULL on records never updated after initial insert; null handling must be accounted for in delta SQL to avoid missing newly inserted rows
